sale_type,sold_date,property_type,address_1,city,state,zip,price,beds,bath,location,square_feet,lot_size,year_built,days_on_market,price_square_foot,hoa_month,status,next_open_house_start_time,next_open_house_end_time,house_url,source,mls_no,favorite,interested,latitude,longitude
MLS Listing,,Single Family Residential,425 Vista Trucha,Newport Beach,CA,92660,1175000,3,2.5,NV - East Bluff - Harbor View,1849,3126,1971,127,635,275,Active,,,http://www.redfin.com/CA/Newport-Beach/425-Vista-Trucha-92660/home/4644366,CRMLS,LG20051723,N,Y,33.6424337,-117.877318
MLS Listing,,Townhouse,2330 Vanguard Way Unit F204,Costa Mesa,CA,92626,518000,2,2.0,Central Costa Mesa,1220,,1985,138,425,422,Active,,,http://www.redfin.com/CA/Costa-Mesa/2330-Vanguard-Way-92626/unit-F204/home/5647329,TheMLS,20-558200,N,Y,33.65949,-117.9042529
MLS Listing,,Single Family Residential,117 Cecil Pl,Costa Mesa,CA,92627,1248000,4,4.0,C5 - East Costa Mesa,2530,3803,2017,144,493,,Active,,,http://www.redfin.com/CA/Costa-Mesa/117-Cecil-Pl-92627/home/143914167,CRMLS,OC20040741,N,Y,33.652569,-117.9063384
MLS Listing,,Townhouse,593 Seabright Cir,Costa Mesa,CA,92627,725000,2,2.5,C2 - Southwest Costa Mesa,1643,1643,2015,150,441,221,Active,,,http://www.redfin.com/CA/Costa-Mesa/593-Seabright-Cir-92627/home/112729631,CRMLS,CV20036132,N,Y,33.6477464,-117.9237941
MLS Listing,,Townhouse,56 Soho,Irvine,CA,92612,768000,3,3.0,AA - Airport Area,1878,,2010,152,409,365,Active,,,http://www.redfin.com/CA/Irvine/56-Soho-92612/home/40102521,CRMLS,OC20034354,N,Y,33.6746133,-117.8500656
MLS Listing,,Townhouse,264 Rockefeller,Irvine,CA,92612,1155000,3,2.5,AA - Airport Area,2245,,2014,214,514,375,Active,,,http://www.redfin.com/CA/Irvine/264-Rockefeller-92612/home/58556879,CRMLS,OC19263257,N,Y,33.6757155,-117.8470188
For-Sale-by-Owner Listing,,Single Family Residential,224 E 16th St Unit B,Costa Mesa,CA,92627,1070000,3,2.5,Costa Mesa,1869,2474,1995,225,572,,Active,,,http://www.redfin.com/CA/Costa-Mesa/224-E-16th-St-92627/unit-B/home/4587768,Fizber.com,5037388,N,Y,33.6321758,-117.9204835
New Construction Plan,,Single Family Residential,Residence 3 Balboa,Newport Beach,CA,92663,1135990,4,3.5,Ebb Tide by MBK Homes,2157,,,,527,,Active,,,http://www.redfin.com/CA/Newport-Beach/Ebb-Tide-by-MBK-Homes/Residence-3-Balboa/home/121243903,NewHomeSource.com,Plan-121400762,N,Y,33.631143,-117.930683
New Construction Plan,,Townhouse,The Lido,Costa Mesa,CA,92627,807640,2,3.0,Westside Walk,1813,,,,445,,Active,,,http://www.redfin.com/CA/Costa-Mesa/Westside-Walk/The-Lido/home/170469872,NewHomeSource.com,Plan-121768299,N,Y,33.6465968,-117.9158607
New Construction Plan,,Townhouse,The Pacific,Costa Mesa,CA,92627,776640,3,2.5,Westside Walk,1714,,,,453,,Active,,,http://www.redfin.com/CA/Costa-Mesa/Westside-Walk/The-Pacific/home/170469873,NewHomeSource.com,Plan-121768298,N,Y,33.6465968,-117.9158607
New Construction Plan,,Townhouse,The Ford,Costa Mesa,CA,92627,663640,2,2.5,Westside Walk,1305,,,,509,,Active,,,http://www.redfin.com/CA/Costa-Mesa/Westside-Walk/The-Ford/home/170469871,NewHomeSource.com,Plan-121768283,N,Y,33.6465968,-117.9158607
